dataset,condition,repeat,global_best,global_min,init_best_norm,auc_best,final_best,final_best_normalised,steps_to_90pct,switch_count,switch_frequency,failure_count,regime,batch_size,refit
pareto_20210112,batch1_joint,0,6.114679357715656,-1.6910003165941683,0.19584878968100458,0.7014875348619372,6.114679357715656,0.9999999999998365,27,0,0.0,0,structured,1.0,False
pareto_20210112,batch1_joint,1,6.114679357715656,-1.6910003165941683,0.4115825569226108,0.7991437754815469,6.114679357715656,0.9999999999998365,21,0,0.0,0,structured,1.0,False
pareto_20210112,batch1_joint,2,6.114679357715656,-1.6910003165941683,0.057067065648016786,0.797881441506772,6.114679357715656,0.9999999999998365,10,0,0.0,0,structured,1.0,False
pareto_20210112,batch1_joint,3,6.114679357715656,-1.6910003165941683,0.5462879482906924,0.7766631065077525,6.114679357715656,0.9999999999998365,24,0,0.0,0,structured,1.0,False
pareto_20210112,batch1_joint,4,6.114679357715656,-1.6910003165941683,0.45221717849653986,0.8867863963118947,6.114679357715656,0.9999999999998365,10,0,0.0,0,structured,1.0,False
pareto_20210112,batch1_joint,5,6.114679357715656,-1.6910003165941683,0.45221717849653986,0.7460726957863595,6.114679357715656,0.9999999999998365,28,0,0.0,0,structured,1.0,False
pareto_20210112,batch1_joint,6,6.114679357715656,-1.6910003165941683,0.4115825569226108,0.7543347804820774,6.114679357715656,0.9999999999998365,28,0,0.0,0,structured,1.0,False
pareto_20210112,batch1_joint,7,6.114679357715656,-1.6910003165941683,0.8189965934075383,0.9330429775265426,6.114679357715656,0.9999999999998365,17,0,0.0,0,structured,1.0,False
pareto_20210112,batch1_joint,8,6.114679357715656,-1.6910003165941683,0.6356425741637254,0.8493595207184077,6.114679357715656,0.9999999999998365,19,0,0.0,0,structured,1.0,False
pareto_20210112,batch1_joint,9,6.114679357715656,-1.6910003165941683,-0.023234323203362002,0.5262464064049686,6.114679357715656,0.9999999999998365,35,0,0.0,0,structured,1.0,False
pareto_20210112,batch1_joint,10,6.114679357715656,-1.6910003165941683,0.03158159366629744,0.5485678147020354,3.8867505271241742,0.6356425741636214,-1,0,0.0,0,structured,1.0,False
pareto_20210112,batch1_joint,11,6.114679357715656,-1.6910003165941683,1.0,1.0,6.114679357715656,0.9999999999998365,0,0,0.0,0,structured,1.0,False
pareto_20210112,batch1_joint,12,6.114679357715656,-1.6910003165941683,1.0,1.0,6.114679357715656,0.9999999999998365,0,0,0.0,0,structured,1.0,False
pareto_20210112,batch1_joint,13,6.114679357715656,-1.6910003165941683,0.25146153966618423,0.8371174415853889,6.114679357715656,0.9999999999998365,10,0,0.0,0,structured,1.0,False
