domain_seed,condition,campaign,auc,batches_to_90,final_hv
44,gen6_child0_beta2,0,-0.6305775416239878,0,11.323297608475219
44,gen6_child0_beta2,1,-0.544826394741945,1,11.46996525396853
44,gen6_child0_beta2,2,-0.9985513025953541,0,11.432586893658032
44,gen6_child0_beta2,3,-0.5503993369181613,1,11.309640999420044
44,gen6_child0_beta2,4,-0.6360953445694968,0,11.263659646208172
44,gen6_child0_beta2,5,-0.14388553545827407,1,10.968157176666503
44,gen6_child0_beta2,6,-0.42375083786748374,2,11.407912778225361
44,gen6_child0_beta2,7,-0.5346353340772456,0,11.170505028053476
44,gen6_child0_beta2,8,-0.3777281581231338,0,11.111904866313873
44,gen6_child0_beta2,9,-0.8238886133389828,0,11.381187507069967
44,gen6_child0_beta2,10,-0.3326622554502201,1,11.222367023347106
44,gen6_child0_beta2,11,0.6387087382638856,6,9.949892131848584
44,gen6_child0_beta2,12,-0.4139192180176988,1,11.236504879453749
44,gen6_child0_beta2,13,-1.1918050431973917,0,11.498970919735521
44,gen6_child0_beta2,14,-0.4358542283315661,0,11.144270725157606
44,gen6_child0_beta2,15,-0.7295962489415618,0,11.368939138882245
44,gen6_child0_beta2,16,-0.4556322096725603,1,11.178099898274082
44,gen6_child0_beta2,17,0.7729046342660318,6,9.598946787708826
44,gen6_child0_beta2,18,0.12110665007310409,2,10.844941148346352
44,gen6_child0_beta2,19,-1.176425563657567,0,11.502987123026848
44,gen6_child0_beta3,0,-0.80520911719564,0,11.459402646980081
44,gen6_child0_beta3,1,-0.6132273006182979,1,11.514999014105264
44,gen6_child0_beta3,2,-0.6596218000015971,0,11.249937765028823
44,gen6_child0_beta3,3,-0.51564515339589,1,11.277550310874554
44,gen6_child0_beta3,4,-0.5787156474923373,0,11.210381812323462
44,gen6_child0_beta3,5,-0.15059263424944375,1,10.967677577599959
44,gen6_child0_beta3,6,-0.5233228282282273,2,11.380684331988842
44,gen6_child0_beta3,7,-0.5577510562215507,0,11.202235860903345
44,gen6_child0_beta3,8,-0.5224094328458627,0,11.264320404476083
44,gen6_child0_beta3,9,-0.7723053776084026,0,11.343165579333123
44,gen6_child0_beta3,10,-0.25843866934528836,1,11.121661121994345
44,gen6_child0_beta3,11,-0.2654312600665364,1,11.187208252314964
44,gen6_child0_beta3,12,-1.2860548830209582,1,11.624302497181112
44,gen6_child0_beta3,13,-1.2707099739159518,0,11.55960437852124
44,gen6_child0_beta3,14,-0.6101532611312201,0,11.304456140797084
44,gen6_child0_beta3,15,-0.8304706861171566,0,11.411721632601571
44,gen6_child0_beta3,16,-0.44338666147423084,1,11.174334182267419
44,gen6_child0_beta3,17,0.7772723758449178,6,9.592457216824226
